,Unnamed: 0,access,bridge,geometry,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,tunnel,u,v,width,poi,crime,sociability,safety,trees,greenness,crime_1,poi_1,trees_1,length_1og,crime_std,poi_std,greenness_std
10,10,,,"LINESTRING (698077.5073137865 5712473.913838007, 698039.8079270161 5712471.216799872)",residential,,0,,37.673,20 mph,Chester Close South,False,26815501,,,,294158420,294158442,,0,0,0.0,0.0,1,0.0265442093807236,0.0,0.0,0.6931471805599453,3.6551416821290776,0.0,0.0,0.08201670316830541
11,11,,,"LINESTRING (698077.5073137865 5712473.913838007, 698073.7261141933 5712522.360309635, 698071.5368394534 5712547.29567221)",primary,,0,,73.577,20 mph,Albany Street,False,26785612,A4201,,,294158420,2216565671,,0,0,0.0,0.0,6,0.081547222637509,0.0,0.0,1.9459101490553132,4.311832148680153,0.0,0.0,0.19518300486257875
12,12,permissive,,"LINESTRING (698051.358385805 5712372.141180289, 698082.2223010923 5712373.279617328)",unclassified,,0,,30.785,,Chester Gate,False,4257257,,,,294158423,106201,,0,0,0.0,0.0,2,0.064966704563911,0.0,0.0,1.0986122886681098,3.458994480388372,0.0,0.0,0.13736485953196223
13,13,permissive,,"LINESTRING (698051.358385805 5712372.141180289, 698047.7135483455 5712371.920913773)",unclassified,,0,,3.64,,Chester Gate,False,26815508,,,,294158423,294160213,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.534714366238164,0.0,0.0,0.0
14,14,,,"LINESTRING (698051.358385805 5712372.141180289, 698050.8575668383 5712382.121055203, 698050.4403697231 5712392.627550969)",residential,,0,,20.494,20 mph,Chester Close South,False,26815503,,,,294158423,294158425,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0677738264189616,0.0,0.0,0.0
15,15,,,"LINESTRING (698050.4403697231 5712392.627550969, 698047.413639038 5712392.4091488)",residential,,0,,3.025,20 mph,Chester Close South,False,26815503,,,,294158425,294158436,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.3925249108705269,0.0,0.0,0.0
16,16,,,"LINESTRING (698050.4403697231 5712392.627550969, 698056.0924746337 5712392.848254317, 698053.1816555797 5712457.786574793, 698042.6404416274 5712457.374964091, 698047.413639038 5712392.4091488)",residential,,1,,146.21200000000002,20 mph,Chester Close South,False,26815503,,,,294158425,294158436,,0,20,0.0,0.13678767816595086,0,0.0,3.044522437723423,0.0,0.0,4.99187372471119,0.1331095067371387,0.0,0.0
17,17,,,"LINESTRING (698050.4403697231 5712392.627550969, 698050.8575668383 5712382.121055203, 698051.358385805 5712372.141180289)",residential,,0,,20.494,20 mph,Chester Close South,False,26815503,,,,294158425,294158423,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0677738264189616,0.0,0.0,0.0
18,18,,,"LINESTRING (699282.3931996217 5712765.668258325, 699286.2182707442 5712766.598043808, 699283.6709797067 5712773.802772117, 699325.2480255419 5712792.652067118)",footway,,0,,57.077,,,False,"[438323194, 438323183]",,,building_passage,4360568917,377021771,,2,0,0.03504038404260911,0.0,0,0.0,0.0,1.0986122886681098,0.0,4.0617697162899224,0.0,0.09204757398848304,0.0
19,19,no,,"LINESTRING (699282.3931996217 5712765.668258325, 699284.5520878294 5712760.040629738, 699284.6849034994 5712756.660685938, 699283.4758371995 5712753.317096035, 699280.4825317982 5712752.252965878)",service,,0,,16.121000000000002,10 mph,,False,681764418,,taxi,,4360568917,6309368994,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.840305780222681,0.0,0.0,0.0
20,20,no,,"LINESTRING (699282.3931996217 5712765.668258325, 699279.5018448356 5712775.442882076, 699279.605897021 5712779.511393119, 699276.0236519862 5712790.78442033, 699274.0549770934 5712793.869518247, 699246.1006187367 5712864.037729509)",service,,0,2,105.186,10 mph,,False,"[673447480, 681764418, 681764415]",,taxi,,4360568917,4360568911,,0,27,0.0,0.25668815241572074,0,0.0,3.332204510175204,0.0,0.0,4.665192273375934,0.1558890412361988,0.0,0.0
21,21,,,"LINESTRING (699449.1689423735 5712695.100475332, 699446.9879292134 5712693.867754607)",footway,,0,,2.498,,,False,428980918,,,,4281073750,4293753989,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.2521913765964103,0.0,0.0,0.0
22,22,,,"LINESTRING (698047.413639038 5712392.4091488, 698050.4403697231 5712392.627550969)",residential,,0,,3.025,20 mph,Chester Close South,False,26815503,,,,294158436,294158425,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.3925249108705269,0.0,0.0,0.0
23,23,,,"LINESTRING (698047.413639038 5712392.4091488, 698042.6404416274 5712457.374964091, 698053.1816555797 5712457.786574793, 698056.0924746337 5712392.848254317, 698050.4403697231 5712392.627550969)",residential,,1,,146.21200000000005,20 mph,Chester Close South,False,26815503,,,,294158436,294158425,,0,20,0.0,0.1367876781659508,0,0.0,3.044522437723423,0.0,0.0,4.991873724711191,0.1331095067371387,0.0,0.0
24,24,,,"LINESTRING (698047.413639038 5712392.4091488, 698031.2509527432 5712391.878289849, 698026.7428498261 5712470.517374689)",residential,,0,,94.836,20 mph,Chester Close South,False,26815505,,,,294158436,3610309235,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.562638397269113,0.0,0.0,0.0
25,25,,,"LINESTRING (698039.8079270161 5712471.216799872, 698026.7428498261 5712470.517374689)",residential,,0,,13.040999999999999,20 mph,Chester Close South,False,26815501,,,,294158442,3610309235,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.641981621132505,0.0,0.0,0.0
26,26,,,"LINESTRING (698039.8079270161 5712471.216799872, 698077.5073137865 5712473.913838007)",residential,,0,,37.673,20 mph,Chester Close South,False,26815501,,,,294158442,294158420,,0,0,0.0,0.0,1,0.0265442093807236,0.0,0.0,0.6931471805599453,3.6551416821290776,0.0,0.0,0.08201670316830541
27,27,,,"LINESTRING (698039.8079270161 5712471.216799872, 698037.4993069789 5712508.284899791, 698035.937680162 5712542.40906374)",service,,0,,71.25399999999998,,,False,26815507,,,,294158442,2216574820,,7,0,0.0982400988014708,0.0,0,0.0,0.0,2.0794415416798357,0.0,4.280187688781848,0.0,0.16533587329927527,0.0
28,28,,,"LINESTRING (698043.1633813289 5712543.058669393, 698071.5368394534 5712547.29567221)",service,,0,,28.596,,,False,81446466,,,,294158443,2216565671,,0,0,0.0,0.0,1,0.03496992586375717,0.0,0.0,0.6931471805599453,3.3876392170633043,0.0,0.0,0.08849309243773555
29,29,,,"LINESTRING (698043.1633813289 5712543.058669393, 698035.937680162 5712542.40906374)",service,,0,,7.231,,,False,211686365,,,,294158443,2216574820,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.107907513990507,0.0,0.0,0.0
30,30,,,"LINESTRING (698043.1633813289 5712543.058669393, 698042.4342925346 5712550.702370772, 698037.1303100147 5712633.352483136, 698027.792623571 5712640.19236651)","['footway', 'service']",,0,,101.988,,Chester Close North,False,"[211685483, 81446468, 81446469]",,,,294158443,948926057,,0,6,0.0,0.05883045064125191,0,0.0,1.9459101490553132,0.0,0.0,4.634612476588049,0.0916353077097259,0.0,0.0
31,31,,,"LINESTRING (698022.5802510906 5712541.197137235, 698026.7428498261 5712470.517374689)",residential,,0,,70.756,20 mph,Chester Close North,False,81446467,,,,294158444,3610309235,,1,0,0.014133077053536097,0.0,0,0.0,0.0,0.6931471805599453,0.0,4.273271474836844,0.0,0.055201155490717864,0.0
32,32,,,"LINESTRING (698022.5802510906 5712541.197137235, 698035.937680162 5712542.40906374)",service,,0,,13.369000000000002,,,False,211686365,,,,294158444,2216574820,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.6650731082470696,0.0,0.0,0.0
33,33,,,"LINESTRING (698022.5802510906 5712541.197137235, 698018.8576934816 5712603.097259881, 698016.9972010012 5712635.450391962, 698027.792623571 5712640.19236651)","['residential', 'service']",,0,,106.11399999999999,20 mph,Chester Close North,False,"[81446467, 81446468]",,,,294158444,948926057,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.6738936878649735,0.0,0.0,0.0
34,34,,,"LINESTRING (699370.1155717131 5712706.59070075, 699352.3540364071 5712740.568175835)",footway,,0,,38.296,,The Arcade,False,46829489,,,building_passage,4765024368,4156453228,,6,0,0.1566743263003969,0.0,0,0.0,0.0,1.9459101490553132,0.0,3.6711227325246774,0.0,0.18038776202497148,0.0
35,35,,,"LINESTRING (699370.1155717131 5712706.59070075, 699379.4509398348 5712688.729020105, 699393.6711128942 5712666.92816, 699394.9340693128 5712664.483480512)",footway,,0,,48.873999999999995,,The Arcade,False,"[46829489, 429198636]",,,building_passage,4765024368,4283266575,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.909499824883708,0.0,0.0,0.0
36,36,,,"LINESTRING (699370.1155717131 5712706.59070075, 699373.3232528516 5712708.208945925, 699374.2760798193 5712706.409060078, 699375.2502072749 5712704.420709683, 699376.2785019173 5712702.467895133, 699377.7960180737 5712699.554396834)",footway,,0,,13.314000000000002,,,False,"[483759585, 483759586]",,,,4765024368,4765029922,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.661238079316406,0.0,0.0,0.0
37,37,customers,,"LINESTRING (699267.358317096 5712910.739698643, 699268.9465159231 5712911.503635722, 699264.7192018636 5712919.399562146)",footway,,0,,10.703,,,False,483759474,,,,4765024373,598093309,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.459845219192629,0.0,0.0,0.0
38,38,customers,,"LINESTRING (699267.358317096 5712910.739698643, 699257.2325923141 5712905.252951579, 699252.8834759957 5712913.244319709)",footway,,0,,20.573,,,False,483759475,,,,4765024373,1263352216,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.071442532788467,0.0,0.0,0.0
39,39,customers,,"LINESTRING (699267.358317096 5712910.739698643, 699270.3227932133 5712905.288482206, 699287.3504188212 5712872.64046014)",footway,,0,,42.978,,,False,"[483759480, 483759475]",,,,4765024373,4765024404,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.783689508876579,0.0,0.0,0.0
40,40,,,"LINESTRING (699298.0260600703 5712844.34177669, 699278.9905405171 5712880.362845587)",footway,,0,,40.695,,The Arcade,False,46829489,,,building_passage,4765024375,598157050,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.7303812175389486,0.0,0.0,0.0
41,41,,,"LINESTRING (699298.0260600703 5712844.34177669, 699318.298727098 5712805.830513817)",footway,,0,,43.472,,The Arcade,False,46829489,,,building_passage,4765024375,4765024377,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.7948597776511686,0.0,0.0,0.0
42,42,,,"LINESTRING (699298.0260600703 5712844.34177669, 699301.4127131228 5712845.822254171)",footway,,0,,3.685,,,False,483759476,,,,4765024375,4765024376,,0,20,0.0,5.42740841248304,0,0.0,3.044522437723423,0.0,0.0,1.5443659156903857,0.43025156307813894,0.0,0.0
43,43,,,"LINESTRING (699318.298727098 5712805.830513817, 699298.0260600703 5712844.34177669)",footway,,0,,43.472,,The Arcade,False,46829489,,,building_passage,4765024377,4765024375,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.7948597776511686,0.0,0.0,0.0
44,44,,,"LINESTRING (699318.298727098 5712805.830513817, 699325.2480255419 5712792.652067118)",footway,,0,,14.880999999999998,,The Arcade,False,46829489,,,building_passage,4765024377,377021771,,2,0,0.13439956992137625,0.0,0,0.0,0.0,1.0986122886681098,0.0,2.7651234261285094,0.0,0.13521134172583604,0.0
45,45,,,"LINESTRING (699318.298727098 5712805.830513817, 699320.8485604643 5712807.044270221)",footway,,0,,2.8160000000000003,,,False,483759514,,,,4765024377,4765029967,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.3392027535860402,0.0,0.0,0.0
46,46,,,"LINESTRING (699346.1469624161 5712752.706768331, 699325.2480255419 5712792.652067118)",footway,,0,,45.031000000000006,,The Arcade,False,46829489,,,building_passage,4765024378,377021771,,2,0,0.044413848237880575,0.0,0,0.0,0.0,1.0986122886681098,0.0,3.829315082555148,0.0,0.09763522729889962,0.0
47,47,,,"LINESTRING (699346.1469624161 5712752.706768331, 699352.3540364071 5712740.568175835)",footway,,0,,13.618,,The Arcade,False,46829489,,,building_passage,4765024378,4156453228,,6,0,0.4405933323542371,0.0,0,0.0,0.0,1.9459101490553132,0.0,2.6822536460582,0.0,0.2468914954453772,0.0
48,48,,,"LINESTRING (699346.1469624161 5712752.706768331, 699349.1963759323 5712754.463539113, 699350.4059429766 5712752.139241813, 699351.5326742596 5712749.978719805, 699352.2313529854 5712748.6365279, 699353.3502769466 5712746.497970143, 699354.0268414385 5712745.188315395, 699355.1236516605 5712743.082294925, 699355.7924082273 5712741.794604268, 699356.9187066572 5712739.645201603, 699357.5879011052 5712738.346392931, 699358.9692683158 5712735.538892395, 699350.554528099 5712731.043475036)","['footway', 'steps']",,0,,34.299,,,False,"[483759520, 483759521, 483759522, 483759523, 483759524, 483759525, 483759517, 483759518, 483759519]",,,,4765024378,4765024413,2.4,6,0,0.17493221376716522,0.0,0,0.0,0.0,1.9459101490553132,0.0,3.5638546349260904,0.0,0.18581723489764562,0.0
49,49,,,"LINESTRING (699301.4127131228 5712845.822254171, 699298.0260600703 5712844.34177669)",footway,,0,,3.685,,,False,483759476,,,,4765024376,4765024375,,0,20,0.0,5.42740841248304,0,0.0,3.044522437723423,0.0,0.0,1.5443659156903857,0.43025156307813894,0.0,0.0
50,50,,,"LINESTRING (699301.4127131228 5712845.822254171, 699299.1553969327 5712850.243383222)",footway,,0,,4.959,,,False,483759578,,,,4765024376,4765024379,,0,20,0.0,4.033071183706393,0,0.0,3.044522437723423,0.0,0.0,1.7849026817648417,0.37227007162843867,0.0,0.0
51,51,,,"LINESTRING (699301.4127131228 5712845.822254171, 699305.487575613 5712837.920360469, 699306.5227554763 5712835.967805319, 699307.5510015325 5712834.01497783, 699310.1144952232 5712829.049114386)",footway,,0,,18.874,,,False,"[483759576, 483759578]",,,,4765024376,4765024416,,0,20,0.0,1.0596587898696619,0,0.0,3.044522437723423,0.0,0.0,2.9894123448091716,0.22227306659255996,0.0,0.0
52,52,,,"LINESTRING (699299.1553969327 5712850.243383222, 699301.4127131228 5712845.822254171)",footway,,0,,4.959,,,False,483759578,,,,4765024379,4765024376,,0,20,0.0,4.033071183706393,0,0.0,3.044522437723423,0.0,0.0,1.7849026817648417,0.37227007162843867,0.0,0.0
53,53,,,"LINESTRING (699299.1553969327 5712850.243383222, 699299.7893832769 5712850.54668366, 699298.5191394953 5712853.002230837, 699290.4168109128 5712868.484965302, 699288.0987937176 5712873.037337678, 699287.3504188212 5712872.64046014)","['footway', 'steps']",,0,,26.866,,,False,"[483759505, 483759500, 483759501, 483759485]",,,,4765024379,4765024404,1.6,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.3274073076914,0.0,0.0,0.0
54,54,,,"LINESTRING (699299.1553969327 5712850.243383222, 699298.4031433004 5712849.768403948, 699297.1103487827 5712852.26760685, 699289.0214557534 5712867.762006728, 699286.7043134135 5712872.292143239)","['footway', 'steps']",,0,,26.24,,,False,"[483759578, 483759499, 483759502, 483759503]",,,,4765024379,4765024412,1.6,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.3046864812813115,0.0,0.0,0.0
55,55,,,"LINESTRING (698534.3772876065 5712071.909769285, 698527.6215024572 5712086.922969043)",trunk,,0,,16.445999999999998,30 mph,Tottenham Court Road,False,279154281,A400,,,2833955771,4762857300,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.8591103960110265,0.0,0.0,0.0
56,56,,,"LINESTRING (698534.3772876065 5712071.909769285, 698536.7907995596 5712066.681565937, 698538.9788424355 5712061.889950082, 698543.8324605919 5712050.577171638, 698548.0868617919 5712040.37674176)",trunk,,0,4,34.352999999999994,30 mph,Tottenham Court Road,False,"[685100528, 279154280, 279154278]",A400,,,2833955771,2833955766,,0,147,0.0,4.279102261811196,0,0.0,4.997212273764115,0.0,0.0,3.5653832543711177,0.30589689126227204,0.0,0.0
57,57,,,"LINESTRING (698534.3772876065 5712071.909769285, 698527.9602055913 5712068.507331779, 698514.256565764 5712075.754586322, 698513.1395497652 5712078.383339626)",footway,,0,,25.558000000000003,,,False,"[527422204, 527422205, 527422207]",,,,2833955771,2833955781,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.279331020568136,0.0,0.0,0.0
58,58,,,"LINESTRING (698534.3772876065 5712071.909769285, 698540.018150673 5712074.37987621, 698554.0186759559 5712090.071864481, 698553.581840917 5712092.181605319)",footway,,0,,29.283,,,False,"[279154310, 527422205, 527422206]",,,,2833955771,2833955799,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.410586498958841,0.0,0.0,0.0
59,59,,,"LINESTRING (699287.3504188212 5712872.64046014, 699286.7043134135 5712872.292143239)",footway,,0,,0.732,,,False,483759485,,,,4765024404,4765024412,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5492768101402434,0.0,0.0,0.0
60,60,customers,,"LINESTRING (699287.3504188212 5712872.64046014, 699270.3227932133 5712905.288482206, 699267.358317096 5712910.739698643)",footway,,0,,42.978,,,False,"[483759480, 483759475]",,,,4765024404,4765024373,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.783689508876579,0.0,0.0,0.0
61,61,,,"LINESTRING (699287.3504188212 5712872.64046014, 699288.0987937176 5712873.037337678, 699290.4168109128 5712868.484965302, 699298.5191394953 5712853.002230837, 699299.7893832769 5712850.54668366, 699299.1553969327 5712850.243383222)","['footway', 'steps']",,0,,26.866,,,False,"[483759505, 483759500, 483759485, 483759501]",,,,4765024404,4765024379,1.6,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.3274073076914,0.0,0.0,0.0
62,62,,,"LINESTRING (699130.3211582503 5711414.264143116, 699133.1299576358 5711409.430286787)",footway,,0,,5.584,,,False,61156103,,,,764870812,764870820,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.8846424633747687,0.0,0.0,0.0
63,63,,,"LINESTRING (699286.7043134135 5712872.292143239, 699287.3504188212 5712872.64046014)",footway,,0,,0.732,,,False,483759485,,,,4765024412,4765024404,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5492768101402434,0.0,0.0,0.0
64,64,,,"LINESTRING (699286.7043134135 5712872.292143239, 699278.7716189116 5712868.083025701, 699301.5976097195 5712824.505213968)",footway,,0,,58.093,,,False,483759485,,,,4765024412,4765024418,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.079112474080676,0.0,0.0,0.0
65,65,,,"LINESTRING (699286.7043134135 5712872.292143239, 699289.0214557534 5712867.762006728, 699297.1103487827 5712852.26760685, 699298.4031433004 5712849.768403948, 699299.1553969327 5712850.243383222)","['footway', 'steps']",,0,,26.24,,,False,"[483759578, 483759499, 483759502, 483759503]",,,,4765024412,4765024379,1.6,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.3046864812813115,0.0,0.0,0.0
66,66,,,"LINESTRING (699350.554528099 5712731.043475036, 699301.5976097195 5712824.505213968)",footway,,0,,105.38799999999999,,,False,483759485,,,,4765024413,4765024418,,8,0,0.07590997077466125,0.0,0,0.0,0.0,2.1972245773362196,0.0,4.667092788592294,0.0,0.16021796241044794,0.0
67,67,,,"LINESTRING (699350.554528099 5712731.043475036, 699369.34912008 5712695.169041396, 699377.7960180737 5712699.554396834)",footway,,0,,49.945,,,False,483759485,,,,4765024413,4765029922,,6,0,0.12013214535989587,0.0,0,0.0,0.0,1.9459101490553132,0.0,3.9307466194262486,0.0,0.168473238790392,0.0
68,68,,,"LINESTRING (699350.554528099 5712731.043475036, 699358.9692683158 5712735.538892395, 699357.5879011052 5712738.346392931, 699356.9187066572 5712739.645201603, 699355.7924082273 5712741.794604268, 699355.1236516605 5712743.082294925, 699354.0268414385 5712745.188315395, 699353.3502769466 5712746.497970143, 699352.2313529854 5712748.6365279, 699351.5326742596 5712749.978719805, 699350.4059429766 5712752.139241813, 699349.1963759323 5712754.463539113, 699346.1469624161 5712752.706768331)","['footway', 'steps']",,0,,34.29900000000001,,,False,"[483759520, 483759521, 483759522, 483759523, 483759524, 483759525, 483759517, 483759518, 483759519]",,,,4765024413,4765024378,2.4,6,0,0.1749322137671652,0.0,0,0.0,0.0,1.9459101490553132,0.0,3.5638546349260904,0.0,0.18581723489764562,0.0
69,69,,,"LINESTRING (699167.09312655 5711485.03623588, 699196.5859744299 5711444.982116211)",primary,,0,3,49.668,20 mph,Bedford Square,False,424202400,A400,,,764870818,107851,,1,0,0.02013368768623661,0.0,0,0.0,0.0,0.6931471805599453,0.0,3.925294547621386,0.0,0.060094731815593314,0.0
70,70,,,"LINESTRING (699167.09312655 5711485.03623588, 699162.9924810249 5711481.367624853, 699162.0238969391 5711480.026766173)",footway,,0,,7.141,,,False,61156106,,,,764870818,764870857,,1,0,0.1400364094664613,0.0,0,0.0,0.0,0.6931471805599453,0.0,2.0969130225918406,0.0,0.11249370889258539,0.0
71,71,,,"LINESTRING (699167.09312655 5711485.03623588, 699150.9420579248 5711506.60613684, 699138.2658731274 5711524.604398785)",primary,,0,3,48.889,20 mph,Bedford Square,False,"[147248800, 694565509]",A400,,,764870818,107842,,1,0,0.020454498967047804,0.0,0,0.0,0.0,0.6931471805599453,0.0,3.909800537575047,0.0,0.060332879099459696,0.0
72,72,,,"LINESTRING (699309.4480186701 5712828.688858862, 699310.1144952232 5712829.049114386)",footway,,0,,0.7559999999999999,,,False,483759484,,,,4765024415,4765024416,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5630384952129248,0.0,0.0,0.0
73,73,,,"LINESTRING (699309.4480186701 5712828.688858862, 699301.5976097195 5712824.505213968)",footway,,0,,8.871,,,False,483759484,,,,4765024415,4765024418,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.289601165435751,0.0,0.0,0.0
74,74,,,"LINESTRING (699309.4480186701 5712828.688858862, 699312.1620054427 5712823.428254684, 699320.3528614016 5712807.993568473, 699320.8485604643 5712807.044270221)","['footway', 'steps']",,0,,24.436,,,False,"[483759513, 483759509, 483759510]",,,,4765024415,4765029967,1.6,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.2361654934051614,0.0,0.0,0.0
75,75,,,"LINESTRING (699133.1299576358 5711409.430286787, 699130.3211582503 5711414.264143116)",footway,,0,,5.584,,,False,61156103,,,,764870820,764870812,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.8846424633747687,0.0,0.0,0.0
76,76,,,"LINESTRING (699133.1299576358 5711409.430286787, 699138.5825928885 5711402.372911115)",footway,,0,,8.905,,,False,61156103,,,,764870820,764870828,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.2930396801505144,0.0,0.0,0.0
77,77,,,"LINESTRING (699133.1299576358 5711409.430286787, 699121.4243361054 5711401.632678085, 699107.3952901388 5711395.85963606, 699097.6961064766 5711394.643868291, 699088.461489417 5711394.159010693, 699081.608097786 5711396.195109072, 699076.1334160885 5711397.973522919, 699071.6316820879 5711401.15976425, 699064.9453599297 5711406.1978464)",footway,,0,,74.83800000000001,,,False,61156104,,,,764870820,764870830,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.32859948629102,0.0,0.0,0.0
78,78,,,"LINESTRING (699133.1299576358 5711409.430286787, 699141.0716349448 5711415.421020932, 699154.706602926 5711427.514710598, 699163.1722989071 5711438.737399268, 699167.2547119751 5711449.242401949, 699168.6711541052 5711460.411092945, 699167.9868589978 5711469.348193835, 699166.0451014324 5711474.216067728, 699162.0238969391 5711480.026766173)",footway,,0,,85.90100000000002,,,False,61156104,,,,764870820,764870857,,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.464769539684998,0.0,0.0,0.0
